"Verb"|"Root"|"VerbOld"|"RootOld"|"Form"|"Frequency"|"Translation"|"Nederlands"|"Turks"|"NL"|"TR"
"أَبَقَ"|"ا ب ق"|"أَبَقَ"|"ا ب ق"|"I"|"1"|"to run away, to flee"|"weglopen, vluchten"|"kaçmak, kaçmak"|"NL"|"TR"
"أَبَى"|"ا ب ي"|"أَبَى"|"ا ب ي"|"I"|"13"|"to refuse"|"weigeren"|"reddetmek"|"NL"|"TR"
"أَتَى"|"ا ت ي"|"أَتَى"|"ا ت ي"|"I"|"264"|"to come, to bring"|"komen, brengen"|"gelmek, getirmek"|"NL"|"TR"
"آتَى"|"ا ت ي"|"آتَى"|"ا ت ي"|"IV"|"271"|"to give"|"geven"|"vermek"|"NL"|"TR"
"يُؤْثَرُ"|"ا ث ر"|"يُؤْثَرُ"|"ا ث ر"|"I"|"1"|"to transmit, to be related"|"zenden, gerelateerd te zijn"|"iletmek, İlgili olmak"|"NL"|"TR"
"آثَرَ"|"ا ث ر"|"آثَرَ"|"ا ث ر"|"IV"|"5"|"to prefer"|"de voorkeur geven"|"tercih etmek"|"NL"|"TR"
"تَأْجُرَ"|"ا ج ر"|"تَأْجُرَ"|"ا ج ر"|"I"|"1"|"to work for recompense"|"om te werken voor vergelding"|"telafisi için çalışmak"|"NL"|"TR"
"ٱسْتَـْٔجَرْ"|"ا ج ر"|"ٱسْتَـْٔجَرْ"|"ا ج ر"|"X"|"2"|"to hire"|"huren"|"kiralamak"|"NL"|"TR"
"أَجَّلَ"|"ا ج ل"|"أَجَّلَ"|"ا ج ل"|"II"|"2"|"to appoint"|"benoemen"|"atamak"|"NL"|"TR"
"أَخَذَ"|"ا خ ذ"|"أَخَذَ"|"ا خ ذ"|"I"|"127"|"to take, to seize"|"nemen, in beslag te nemen"|"almak, ele geçirmek"|"NL"|"TR"
"يُؤَاخِذُ"|"ا خ ذ"|"يُؤَاخِذُ"|"ا خ ذ"|"III"|"9"|"to call to account, to punish"|"afrekenen, straffen"|"hesap sormak, cezalandırmak"|"NL"|"TR"
"ٱتَّخَذَ"|"ا خ ذ"|"ٱتَّخَذَ"|"ا خ ذ"|"VIII"|"124"|"to take"|"nemen"|"almak"|"NL"|"TR"
"أَخَّرَ"|"ا خ ر"|"أَخَّرَ"|"ا خ ر"|"II"|"15"|"to delay, to give respite"|"uitstellen, respijt geven"|"geciktirmek, mühlet vermek"|"NL"|"TR"
"تَأَخَّرَ"|"ا خ ر"|"تَأَخَّرَ"|"ا خ ر"|"V"|"3"|"to delay, to stay behind"|"uitstellen, achter blijven"|"geciktirmek, geride kalmak"|"NL"|"TR"
"يَسْتَأْخِرُ"|"ا خ ر"|"يَسْتَأْخِرُ"|"ا خ ر"|"X"|"6"|"to delay, to postpone"|"uitstellen, uitstellen"|"geciktirmek, ertelemek"|"NL"|"TR"
"يُؤَدِّ"|"ا د ي"|"يُؤَدِّ"|"ا د ي"|"II"|"5"|"to discharge, to deliver"|""|""|"NL"|"TR"
"أَذِنَ"|"ا ذ ن"|"أَذِنَ"|"ا ذ ن"|"I"|"23"|"to permit"|"toestaan"|"izin vermek"|"NL"|"TR"
"أَذَّنَ"|"ا ذ ن"|"أَذَّنَ"|"ا ذ ن"|"II"|"3"|"to announce, to proclaim"|"aankondigen, verkondigen"|"ilan etmek, ilan etmek"|"NL"|"TR"
"ءَاذَن"|"ا ذ ن"|"ءَاذَن"|"ا ذ ن"|"IV"|"2"|"to announce"|"aankondigen"|"duyurmak"|"NL"|"TR"
"تَأَذَّنَ"|"ا ذ ن"|"تَأَذَّنَ"|"ا ذ ن"|"V"|"2"|"to announce, to declare"|"aankondigen, verklaren"|"ilan etmek, beyan etmek"|"NL"|"TR"
"ٱسْتَـْٔذَنَ"|"ا ذ ن"|"ٱسْتَـْٔذَنَ"|"ا ذ ن"|"X"|"12"|"to ask permission"|"toestemming vragen"|"izin istemek"|"NL"|"TR"
"أُوذِىَ"|"ا ذ ي"|"أُوذِىَ"|"ا ذ ي"|"IV"|"15"|"to harm, to trouble"|"schaden, verontrusten"|"zarar vermek, rahatsız etmek"|"NL"|"TR"
"آزَرَ"|"ا ز ر"|"آزَرَ"|"ا ز ر"|"IV"|"1"|"to strengthen"|"versterken"|"güçlendirmek"|"NL"|"TR"
"تَؤُزُّ"|"ا ز ز"|"تَؤُزُّ"|"ا ز ز"|"I"|"1"|"to incite"|"aanzetten/aanhitsen"|"tahrik etmek"|"NL"|"TR"
"أَزِفَتِ"|"ا ز ف"|"أَزِفَتِ"|"ا ز ف"|"I"|"1"|"to approach"|"benaderen"|"yaklaşmak"|"NL"|"TR"
"تَأْسِرُ"|"ا س ر"|"تَأْسِرُ"|"ا س ر"|"I"|"1"|"to take captive"|"gevangen nemen"|"esir almak"|"NL"|"TR"
"أَسَّسَ"|"ا س س"|"أَسَّسَ"|"ا س س"|"II"|"3"|"to found"|"stichten"|"kurmak"|"NL"|"TR"
"ءَاسَفُ"|"ا س ف"|"ءَاسَفُ"|"ا س ف"|"IV"|"1"|"to anger"|"boos maken"|"öfkelendirmek"|"NL"|"TR"
"تَأْسَ"|"ا س و"|"تَأْسَ"|"ا س و"|"I"|"4"|"to grieve"|"rouwen"|"üzülmek"|"NL"|"TR"
"أُفِكَ"|"ا ف ك"|"أُفِكَ"|"ا ف ك"|"I"|"16"|"to delude, to turn away"|"misleiden, wegdraaien"|"aldatmak, geri çevirmek"|"NL"|"TR"
"أَفَلَ"|"ا ف ل"|"أَفَلَ"|"ا ف ل"|"I"|"3"|"to set"|"instellen"|"ayarlamak"|"NL"|"TR"
"أَكَلَ"|"ا ك ل"|"أَكَلَ"|"ا ك ل"|"I"|"93"|"to eat, to consume"|"eten, consumeren"|"yemek, tüketmek"|"NL"|"TR"
"أَلَتْ"|"ا ل ت"|"أَلَتْ"|"ا ل ت"|"I"|"1"|"to deprive"|"te ontnemen"|"mahrum etmek"|"NL"|"TR"
"أَلَّفَ"|"ا ل ف"|"أَلَّفَ"|"ا ل ف"|"II"|"5"|"to join, to reconcile"|"uitnodigen, verzoenen"|"katılmak, uzlaştırmak"|"NL"|"TR"
"يَأْلَمُ"|"ا ل م"|"يَأْلَمُ"|"ا ل م"|"I"|"3"|"to suffer"|"lijden"|"acı çekmek"|"NL"|"TR"
"يَأْلُ"|"ا ل و"|"يَأْلُ"|"ا ل و"|"I"|"1"|"to spare"|""|""|"NL"|"TR"
"يُؤْلُ"|"ا ل و"|"يُؤْلُ"|"ا ل و"|"IV"|"1"|"to swear, to vow"|"zweren, beloven"|"yemin etmek, yemin etmek"|"NL"|"TR"
"يَأْتَلِ"|"ا ل و"|"يَأْتَلِ"|"ا ل و"|"VIII"|"1"|"to swear"|"te zweren"|"yemin etmek"|"NL"|"TR"
"أَمَرَ"|"ا م ر"|"أَمَرَ"|"ا م ر"|"I"|"77"|"to order, to command"|"bevelen, commanderen"|"buyurmak, emretmek"|"NL"|"TR"
"يَأْتَمِرُ"|"ا م ر"|"يَأْتَمِرُ"|"ا م ر"|"VIII"|"2"|"to consult"|"raadplegen"|"danışmak"|"NL"|"TR"
"أَمِنَ"|"ا م ن"|"أَمِنَ"|"ا م ن"|"I"|"20"|"to feel secure"|"zich veilig voelen"|"güvenli hissetmek"|"NL"|"TR"
"ءَامَنَ"|"ا م ن"|"ءَامَنَ"|"ا م ن"|"IV"|"537"|"to believe"|"geloven"|"inanmak"|"NL"|"TR"
